"","x"
"639",5
"640",0
"641",1
"642",5
"643",5
"644",3
"645",13
"646",3
"647",1
"648",3
"649",0
"650",0
"651",0
"652",2
"653",0
"654",2
"655",18
"656",0
"657",0
"658",1
"659",13
"660",4
"661",0
"662",0
"663",3
"664",1
"665",1
"666",8
"667",1
"668",3
"669",1
"670",1
"671",9
"672",10
"673",4
"674",1
"675",14
"676",1
"677",1
"678",1
"679",1
"680",1
"681",1
"682",12
"683",8
"684",12
"685",0
"686",14
"687",0
"688",0
"689",4
"690",1
"691",1
"692",2
"693",2
"694",2
"695",0
"696",0
"697",3
"698",1
"699",1
"700",2
"701",5
"702",14
"703",2
"704",0
"705",0
"706",7
"707",0
"708",7
"709",4
"710",5
"711",1
"712",6
"713",0
"714",1
"715",1
"716",0
"717",0
"718",3
"719",1
"720",1
"721",12
"722",8
"723",2
"724",2
"725",2
"726",1
"727",2
"728",1
"729",4
"730",1
"731",1
"732",14
"733",1
"734",14
"735",14
"736",1
"737",5
"738",0
"739",0
"740",9
"741",2
"742",1
"743",1
"744",1
"745",2
"746",1
"747",7
"748",1
"749",12
"750",8
"751",3
"752",2
"753",1
"754",1
"755",2
"756",1
"757",1
"758",4
"759",0
"760",0
"761",1
"762",14
"763",1
"764",1
"765",9
"766",9
"767",3
"768",6
"769",2
"770",5
"771",2
"772",7
"773",8
"774",2
"775",7
"776",9
"777",1
"778",3
"779",2
"780",2
"781",11
"782",11
"783",6
"784",2
"785",12
"786",1
"787",-1
"788",1
"789",3
"790",1
"791",6
"792",2
"793",2
"794",2
"795",1
"796",3
"797",2
"798",2
"799",1
"800",8
"801",2
"802",4
"803",2
"804",2
"805",16
"806",15
"807",3
"808",0
"809",15
"810",1
"811",1
"812",2
"813",5
"814",2
"815",1
"816",1
"817",2
"818",1
"819",1
"820",2
"821",14
"822",0
"823",14
"824",3
"825",20
"826",3
"827",2
"828",0
"829",4
"830",3
"831",6
"832",0
"833",2
"834",1
"835",15
"836",1
"837",1
"838",4
"839",2
"840",1
"841",4
"842",7
"843",5
"844",6
"845",13
"846",13
"847",0
"848",2
"849",2
"850",1
"851",1
"852",1
"853",-2
"854",0
"855",1
"856",1
"857",1
"858",2
"859",2
"860",2
"861",13
"862",1
"863",1
"864",2
"865",1
"866",2
"867",2
"868",13
"869",1
"870",6
"871",1
"872",14
"873",1
"874",3
"875",2
"876",1
"877",1
"878",12
"879",12
"880",13
"881",-4
"882",-1
"883",14
"884",2
"885",2
"886",2
"887",2
"888",4
"889",2
"890",1
"891",1
"892",1
"893",2
"894",1
"895",3
"896",8
"897",11
"898",12
"899",11
"900",11
"901",2
"902",2
"903",2
"904",2
"905",2
"906",3
"907",2
"908",1
"909",2
"910",2
"911",0
"912",2
"913",2
"914",2
"915",2
"916",2
"917",2
"918",3
"919",4
"920",2
"921",1
"922",1
"923",-1
"924",13
"925",1
"926",2
"927",0
"928",0
"929",1
"930",8
"931",1
"932",9
"933",1
"934",1
"935",-1
"936",1
"937",1
"938",3
"939",0
"940",7
"941",3
"942",1
"943",1
"944",5
"945",5
"946",5
"947",5
"948",5
"949",14
"950",6
"951",2
"952",8
"953",0
"954",1
"955",1
"956",1
"957",4
"958",20
"959",11
"960",5
"961",0
"962",2
"963",6
"964",9
"965",10
"966",9
"967",1
"968",0
"969",0
"970",1
"971",1
"972",1
"973",0
"974",7
"975",3
"976",7
"977",5
"978",1
"979",0
"980",2
"981",1
"982",3
"983",0
"984",15
"985",5
"986",0
"987",2
"988",1
"989",2
"990",2
"991",1
"992",1
"993",1
"994",1
"995",1
"996",13
"997",-1
"998",-1
"999",-1
"1000",1
"1001",1
"1002",0
"1003",1
"1004",1
"1005",0
"1006",3
"1007",13
"1008",8
"1009",5
"1010",11
"1011",1
"1012",9
"1013",1
"1014",1
"1015",4
"1016",6
"1017",2
"1018",10
"1019",0
"1020",0
"1021",0
"1022",0
"1023",6
"1024",1
"1025",1
"1026",2
"1027",0
"1028",0
"1029",0
"1030",1
"1031",1
"1032",0
"1033",4
"1034",4
"1035",4
"1036",8
"1037",4
"1038",0
"1039",4
"1040",4
"1041",4
"1042",4
"1043",4
"1044",4
"1045",1
"1046",6
"1047",1
"1048",3
"1049",1
"1050",0
"1051",1
"1052",2
"1053",2
"1054",2
"1055",2
"1056",3
"1057",1
"1058",2
"1059",1
"1060",0
"1061",0
"1062",7
"1063",3
"1064",1
"1065",1
"1066",5
"1067",12
"1068",5
"1069",15
"1070",1
"1071",1
"1072",1
"1073",1
"1074",1
"1075",3
"1076",5
"1077",1
"1078",2
"1079",3
"1080",10
"1081",4
"1082",2
"1083",14
"1084",2
"1085",2
"1086",12
"1087",2
"1088",2
"1089",14
"1090",2
"1091",2
"1092",1
"1093",1
"1094",1
"1095",13
"1096",13
"1097",7
"1098",1
"1099",1
"1100",11
"1101",7
"1102",2
"1103",1
"1104",5
"1105",1
"1106",8
"1107",15
"1108",3
"1109",1
"1110",5
"1111",4
"1112",2
"1113",1
"1114",2
"1115",3
"1116",0
"1117",3
"1118",15
"1119",0
"1120",1
"1121",1
"1122",0
"1123",1
"1124",1
"1125",1
"1126",3
"1127",1
"1128",1
"1129",2
"1130",6
"1131",3
"1132",0
"1133",1
"1134",0
"1135",0
"1136",0
"1137",0
"1138",1
"1139",1
"1140",1
"1141",1
"1142",3
"1143",13
"1144",10
"1145",-2
"1146",0
"1147",2
"1148",1
"1149",3
"1150",2
"1151",2
"1152",2
"1153",2
"1154",2
"1155",0
"1156",0
"1157",0
"1158",0
"1159",1
"1160",1
"1161",1
"1162",4
"1163",2
"1164",1
"1165",0
"1166",1
"1167",1
"1168",3
"1169",1
"1170",4
"1171",4
"1172",1
"1173",0
"1174",0
"1175",0
"1176",2
"1177",11
"1178",9
"1179",7
"1180",8
"1181",2
"1182",1
"1183",6
"1184",13
"1185",10
"1186",3
"1187",2
"1188",0
"1189",1
"1190",1
"1191",1
"1192",1
"1193",3
"1194",3
"1195",3
"1196",4
"1197",14
"1198",4
"1199",11
"1200",5
"1201",0
"1202",11
"1203",0
"1204",2
"1205",2
"1206",2
"1207",13
"1208",0
"1209",4
"1210",1
"1211",1
"1212",0
"1213",1
"1214",2
"1215",11
"1216",0
"1217",4
"1218",3
"1219",1
"1220",2
"1221",0
"1222",0
"1223",1
"1224",3
"1225",3
"1226",2
"1227",3
"1228",0
"1229",2
"1230",12
"1231",17
"1232",3
"1233",1
"1234",1
"1235",0
